Checkpoint,Geothermal vent,Species,Ocean Current,Thunder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkpoint: A1,Geothermal vent danger level (1-10): 5,0,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkpoint: A2,Geothermal vent danger level (1-10): 1,29,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkpoint: A3,Geothermal vent danger level (1-10): 2,91,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkpoint: A4,Geothermal vent danger level (1-10): 5,4,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkpoint: A5,Geothermal vent danger level (1-10): 1,3,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkpoint: A6,Geothermal vent danger level (1-10): 4,83,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkpoint: A7,Geothermal vent danger level (1-10): 1,0,7,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkpoint: A8,Geothermal vent danger level (1-10): 0,2,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkpoint: A9,Geothermal vent danger level (1-10): 1,51,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkpoint: A10,Geothermal vent danger level (1-10): 9,57,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkpoint: A11,Geothermal vent danger level (1-10): 2,70,9,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkpoint: A12,Geothermal vent danger level (1-10): 3,44,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkpoint: A13,Geothermal vent danger level (1-10): 8,88,10,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkpoint: A14,Geothermal vent danger level (1-10): 0,0,10,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkpoint: A15,Geothermal vent danger level (1-10): 0,0,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkpoint: A16,Geothermal vent danger level (1-10): 1,0,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkpoint: A17,Geothermal vent danger level (1-10): 7,92,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkpoint: A18,Geothermal vent danger level (1-10): 0,78,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkpoint: A19,Geothermal vent danger level (1-10): 1,66,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkpoint: A20,Geothermal vent danger level (1-10): 6,96,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkpoint: A21,Geothermal vent danger level (1-10): 0,62,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkpoint: A22,Geothermal vent danger level (1-10): 3,51,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkpoint: A23,Geothermal vent danger level (1-10): 3,65,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkpoint: A24,Geothermal vent danger level (1-10): 0,11,10,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkpoint: A25,Geothermal vent danger level (1-10): 2,45,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkpoint: A26,Geothermal vent danger level (1-10): 0,71,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkpoint: A27,Geothermal vent danger level (1-10): 0,0,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkpoint: A28,Geothermal vent danger level (1-10): 1,0,7,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkpoint: A29,Geothermal vent danger level (1-10): 0,0,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkpoint: A30,Geothermal vent danger level (1-10): 7,0,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkpoint: A31,Geothermal vent danger level (1-10): 5,71,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkpoint: A32,Geothermal vent danger level (1-10): 3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkpoint: A33,Geothermal vent danger level (1-10): 1,13,10,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkpoint: A34,Geothermal vent danger level (1-10): 0,24,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkpoint: A35,Geothermal vent danger level (1-10): 0,55,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkpoint: A36,Geothermal vent danger level (1-10): 2,11,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkpoint: A37,Geothermal vent danger level (1-10): 1,62,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkpoint: A38,Geothermal vent danger level (1-10): 1,98,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkpoint: A39,Geothermal vent danger level (1-10): 3,25,10,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkpoint: A40,Geothermal vent danger level (1-10): 2,76,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkpoint: A41,Geothermal vent danger level (1-10): 0,59,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkpoint: A42,Geothermal vent danger level (1-10): 0,59,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkpoint: A43,Geothermal vent danger level (1-10): 8,23,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkpoint: A44,Geothermal vent danger level (1-10): 4,38,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkpoint: A45,Geothermal vent danger level (1-10): 6,43,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkpoint: A46,Geothermal vent danger level (1-10): 2,20,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkpoint: A47,Geothermal vent danger level (1-10): 1,62,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkpoint: A48,Geothermal vent danger level (1-10): 7,49,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkpoint: A49,Geothermal vent danger level (1-10): 2,53,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkpoint: A50,Geothermal vent danger level (1-10): 4,30,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
